2022-09-26 09:54:14 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:15 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:16 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:17 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:18 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:19 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:20 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:21 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:22 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:23 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:24 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:25 :: INFO :: Dispatching - Received 7 msg/s , sent 6 msg/s
2022-09-26 09:54:26 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:27 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:28 :: INFO :: Dispatching - Received 9 msg/s , sent 9 msg/s
2022-09-26 09:54:29 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:30 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:31 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:32 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:33 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:34 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:35 :: INFO :: Dispatching - Received 7 msg/s , sent 5 msg/s
2022-09-26 09:54:36 :: INFO :: Dispatching - Received 8 msg/s , sent 6 msg/s
2022-09-26 09:54:37 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:38 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:39 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:40 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:41 :: INFO :: Dispatching - Received 7 msg/s , sent 5 msg/s
2022-09-26 09:54:42 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:43 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 10:41:48 :: INFO :: waiting for new data ... 
2022-09-26 10:42:18 :: INFO :: waiting for new data ... 
2022-09-26 10:42:39 :: INFO :: waiting for new data ... 
2022-09-26 10:43:18 :: INFO :: waiting for new data ... 
2022-09-26 11:03:34 :: INFO :: waiting for new data ... 
2022-09-26 11:03:35 :: INFO :: Dispatching - Received 7 msg/s , sent 0 msg/s
2022-09-26 11:03:36 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:37 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:38 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:39 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:40 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:41 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:42 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:43 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:44 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:45 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:46 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:47 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:48 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:49 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:50 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:51 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:52 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:03:53 :: INFO :: Dispatching - Received 6 msg/s , sent 0 msg/s
2022-09-26 11:03:54 :: INFO :: Dispatching - Received 5 msg/s , sent 0 msg/s
2022-09-26 11:04:05 :: INFO :: waiting for new data ... 
2022-09-26 11:04:06 :: INFO :: Dispatching - Received 5 msg/s , sent 4 msg/s
2022-09-26 11:04:07 :: INFO :: Dispatching - Received 6 msg/s , sent 5 msg/s
2022-09-26 11:04:08 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:09 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:10 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:11 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:12 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:13 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:14 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:15 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:16 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:17 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:18 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:19 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:20 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:21 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:22 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:23 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:24 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:25 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:26 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:27 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:28 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:29 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:30 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:31 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:32 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:33 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:34 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
2022-09-26 11:04:35 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:36 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:37 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:38 :: INFO :: Dispatching - Received 5 msg/s , sent 5 msg/s
2022-09-26 11:04:39 :: INFO :: Dispatching - Received 6 msg/s , sent 6 msg/s
